metric,value,section,score_quantile_cutoff,score_threshold,targeted_rows,targeted_share,observed_churn_rate,recall_at_threshold,avg_total_payment_value,snapshot_key,rows_n,avg_score,precision_at_top_10pct,average_precision,calibration_bin,customers,avg_predicted_probability,absolute_calibration_gap
roc_auc,0.8015756039616547,summary,,,,,,,,,,,,,,,,
average_precision,0.9936779134928504,summary,,,,,,,,,,,,,,,,
brier_score,0.05716884282167891,summary,,,,,,,,,,,,,,,,
label_prevalence,0.9769874476987448,summary,,,,,,,,,,,,,,,,
precision_at_top_1pct,1.0,summary,,,,,,,,,,,,,,,,
precision_at_top_5pct,1.0,summary,,,,,,,,,,,,,,,,
precision_at_top_10pct,0.9970149253731343,summary,,,,,,,,,,,,,,,,
high_risk_share,0.20023909145248056,summary,,,,,,,,,,,,,,,,
medium_risk_share,0.2997609085475194,summary,,,,,,,,,,,,,,,,
low_risk_share,0.5,summary,,,,,,,,,,,,,,,,
,,thresholds,0.5,0.9558201134204865,1673.0,0.5,0.99581589958159,0.5096359743040685,261.94505678421996,,,,,,,,,
,,thresholds,0.6,0.9714450836181641,1339.0,0.40017931858936046,0.9962658700522778,0.4080758641786479,245.4429574309186,,,,,,,,,
,,thresholds,0.7,0.9808271825313568,1004.0,0.30005977286312013,0.99800796812749,0.3065157540532273,243.7154980079681,,,,,,,,,
,,thresholds,0.8,0.9877068400382996,670.0,0.20023909145248056,0.9985074626865672,0.20464973998164576,251.80461194029846,,,,,,,,,
,,thresholds,0.9,0.9929299652576447,335.0,0.10011954572624028,0.9970149253731343,0.10217191801774243,248.03391044776114,,,,,,,,,
,,thresholds,0.95,0.9949451088905334,169.0,0.050508069336521216,1.0,0.05169776690119302,250.85508875739643,,,,,,,,,
,,monthly_backtest,,,,,0.9761444229529336,,,20180401,1551.0,0.8712551593780518,0.9935897435897436,0.9932576053135251,,,,
,,monthly_backtest,,,,,0.9777158774373259,,,20180501,1795.0,0.8694127798080444,1.0,0.9940736032791742,,,,
,,calibration,,,,,0.8925373134328358,,,,,,,,"(0.0528, 0.591]",220.0,0.40274686,0.48979045722021985
,,calibration,,,,,0.9731343283582089,,,,,,,,"(0.591, 0.792]",246.0,0.70032597,0.27280836247686124
,,calibration,,,,,0.9640718562874252,,,,,,,,"(0.792, 0.878]",243.0,0.84026587,0.12380598619312588
,,calibration,,,,,0.982089552238806,,,,,,,,"(0.878, 0.928]",266.0,0.9053355,0.07675406630359483
,,calibration,,,,,0.9790419161676647,,,,,,,,"(0.928, 0.956]",254.0,0.94397557,0.035066348349976684
,,calibration,,,,,0.9940298507462687,,,,,,,,"(0.956, 0.971]",245.0,0.96487784,0.029152006889457183
,,calibration,,,,,0.9910179640718563,,,,,,,,"(0.971, 0.981]",235.0,0.9761062,0.014911737627611887
,,calibration,,,,,0.9970149253731343,,,,,,,,"(0.981, 0.988]",226.0,0.9843683,0.012646601093349141
,,calibration,,,,,1.0,,,,,,,,"(0.988, 0.993]",212.0,0.99025327,0.009746730327606201
,,calibration,,,,,0.9970149253731343,,,,,,,,"(0.993, 0.998]",185.0,0.995217,0.0017979000931355182
