Ruta relativa;Diferencia detectada;Acción propuesta;Por qué
.dockerignore;Mismo path, tamaño distinto (local=100, drive=118);Revisar versión canónica y sincronizar;"El archivo existe en ambos lados pero no coincide en tamaño; por tanto no está homogeneizado."
.gitattributes;Solo en Drive;Traer a workspace;Existe en Drive y falta en workspace.
.gitignore;Mismo path, tamaño distinto (local=454, drive=612);Revisar versión canónica y sincronizar;"El archivo existe en ambos lados pero no coincide en tamaño; por tanto no está homogeneizado."
Dockerfile;Mismo path, tamaño distinto (local=473, drive=467);Revisar versión canónica y sincronizar;"El archivo existe en ambos lados pero no coincide en tamaño; por tanto no está homogeneizado."
RELEASE_NOTES_v1.md;Mismo path, tamaño distinto (local=3270, drive=5904);Revisar versión canónica y sincronizar;"El archivo existe en ambos lados pero no coincide en tamaño; por tanto no está homogeneizado."
_private/Hoja de cálculo sin título.xlsx;Solo en Drive;Revisar antes de traer;Existe en Drive y falta en workspace.
_private/_agents/OpenClaw - Comandos.xlsx;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/_agents/_docu/Agentes personalizados con OpenClaw - Webpositer, abr 2026.docx;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/_agents/_docu/Asistentes_vs_Agentes.webp;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/_agents/_docu/Curso Desarrollo con IA - Big School  mar26 - Apuntes Día 1.pdf;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/_agents/_docu/Curso Desarrollo con IA - Big School  mar26 - Apuntes Día 2.pdf;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/_agents/_docu/Curso Desarrollo con IA - Big School  mar26 - Apuntes Día 3.pdf;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/_agents/_docu/Curso Desarrollo con IA - Big School  mar26 - Programa Master 3m.pdf;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/_agents/_docu/Curso Desarrollo con IA - Big School  mar26 - notas.docx;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/_agents/_docu/Curso OpenClaw Jon Hndz - abr 2026 - Guía.pdf;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/_agents/_docu/Curso OpenClaw Jon Hndz - abr 2026.docx;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/_agents/_docu/Curso programacion AI First.txt;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/_agents/_docu/Máster AI Engineering para ingenieros de software LIDR - mar 2026.docx;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/_agents/_docu/Prepararse para entrevistas técnicas.docx;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/_agents/_docu/VPN - Oferta Hosting 1 año hasta mayo 2027.png;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/_agents/_docu/n8n_automation.xlsx;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/_agents/_icons/icon_brainiac.png;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/_agents/_icons/icon_rick_1.png;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/_agents/_icons/icon_rick_2.png;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/_agents/_icons/icon_vision_1.png;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/_agents/_icons/icon_vision_2.png;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/_agents/_icons/icon_vision_3.png;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/_agents/_icons/icon_vision_512x512.png;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/_agents/agents_openClaw.txt;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/_deprecated_logos/design_resource.png;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/_deprecated_logos/logo.png;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/_deprecated_logos/logo_2.png;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/_deprecated_logos/logo_3.png;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/_deprecated_logos/logo_4.png;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/acciones_retencion.docx;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/build_remaining_notebooks.py;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/n8n_acciones_retencion_v2.docx;Solo en Drive;Revisar antes de traer;Existe en Drive y falta en workspace.
_private/n8n_workflow_setup.docx;Solo en Drive;Revisar antes de traer;Existe en Drive y falta en workspace.
_private/notebook_guidelines.md;Solo en workspace;Revisar antes de copiar;Existe en workspace y falta en Drive.
_private/notebook_workflow.xlsx;Solo en Drive;Revisar antes de traer;Existe en Drive y falta en workspace.
_private/pasos_activar_piloto.txt;Mismo path, tamaño distinto (local=77, drive=101);Revisar versión canónica y sincronizar;"El archivo existe en ambos lados pero no coincide en tamaño; por tanto no está homogeneizado."
assets/images/n8n_workflow_phase2.png;Mismo path, tamaño distinto (local=124089, drive=672913);Revisar versión canónica y sincronizar;"El archivo existe en ambos lados pero no coincide en tamaño; por tanto no está homogeneizado."
data/processed/churn_diagnostics_20260502.csv;Solo en workspace;Copiar a Drive;Existe en workspace y falta en Drive.
data/processed/churn_driver_summary_20260502.csv;Solo en workspace;Copiar a Drive;Existe en workspace y falta en Drive.
data/processed/churn_explainability_20260502.parquet;Solo en workspace;Copiar a Drive;Existe en workspace y falta en Drive.
data/processed/churn_features_20260501.parquet;Solo en workspace;Copiar a Drive;Existe en workspace y falta en Drive.
data/processed/churn_features_20260502.parquet;Solo en workspace;Copiar a Drive;Existe en workspace y falta en Drive.
data/processed/churn_features_20260505.parquet;Solo en workspace;Copiar a Drive;Existe en workspace y falta en Drive.
data/processed/churn_inference_smoke_test_20260502.parquet;Solo en workspace;Copiar a Drive;Existe en workspace y falta en Drive.
data/processed/churn_model_metrics_20260502.csv;Solo en workspace;Copiar a Drive;Existe en workspace y falta en Drive.
data/processed/churn_predictions_20260502.parquet;Solo en workspace;Copiar a Drive;Existe en workspace y falta en Drive.
data/processed/generated_coupons.jsonl;Solo en workspace;Copiar a Drive;Existe en workspace y falta en Drive.
data/processed/retention_actions_20260502.parquet;Solo en workspace;Copiar a Drive;Existe en workspace y falta en Drive.
data/processed/retention_actions_20260519.parquet;Solo en workspace;Copiar a Drive;Existe en workspace y falta en Drive.
logs/churn_api_62881.log;Solo en workspace;Copiar a Drive;Existe en workspace y falta en Drive.
logs/churn_api_62881.pid;Solo en workspace;Copiar a Drive;Existe en workspace y falta en Drive.
models/churn_model_20260502.joblib;Solo en workspace;Copiar a Drive;Existe en workspace y falta en Drive.
models/churn_scoring_package_20260502.joblib;Solo en workspace;Copiar a Drive;Existe en workspace y falta en Drive.
n8n/daily_churn_retention_workflow_20260506.json;Solo en workspace;Copiar a Drive;Existe en workspace y falta en Drive.
n8n/daily_churn_retention_workflow_20260519.json;Solo en workspace;Copiar a Drive;Existe en workspace y falta en Drive.
n8n/error_handler_workflow_20260519.json;Solo en workspace;Copiar a Drive;Existe en workspace y falta en Drive.
notebooks/08_n8n_orchestration.ipynb;Mismo path, tamaño distinto (local=30952, drive=42712);Revisar versión canónica y sincronizar;"El archivo existe en ambos lados pero no coincide en tamaño; por tanto no está homogeneizado."
notebooks/Workflow.xlsx;Solo en workspace;Copiar a Drive;Existe en workspace y falta en Drive.
notebooks/_deprecated/v0/05_model_evaluation_diagnostics.ipynb;Solo en Drive;Traer a workspace;Existe en Drive y falta en workspace.
notebooks/_deprecated/v1/06_churn_attribution_explainability.ipynb;Solo en Drive;Traer a workspace;Existe en Drive y falta en workspace.
notebooks/_deprecated/v1/07_model_deployment_preparation.ipynb;Solo en Drive;Traer a workspace;Existe en Drive y falta en workspace.
notebooks/_deprecated/v1/08_n8n_orchestration.ipynb;Solo en Drive;Traer a workspace;Existe en Drive y falta en workspace.
notebooks/_deprecated/v1/09_reporting_dashboard.ipynb;Solo en Drive;Traer a workspace;Existe en Drive y falta en workspace.
notebooks/_deprecated/v2/08_n8n_orchestration v2.ipynb;Solo en Drive;Traer a workspace;Existe en Drive y falta en workspace.
notebooks/_deprecated/v2/09_reporting_dashboard v2.ipynb;Solo en Drive;Traer a workspace;Existe en Drive y falta en workspace.
notebooks/_deprecated/v3/06_churn_attribution_explainability.ipynb;Solo en Drive;Traer a workspace;Existe en Drive y falta en workspace.
notebooks/_deprecated/v3/07_model_deployment_preparation.ipynb;Solo en Drive;Traer a workspace;Existe en Drive y falta en workspace.
notebooks/_deprecated/v3/09_reporting_dashboard.ipynb;Solo en Drive;Traer a workspace;Existe en Drive y falta en workspace.
reports/action_proposal_table_4cols_20260521.xlsx;Solo en Drive;Traer a workspace;Existe en Drive y falta en workspace.
reports/model_card_v2_20260519.md;Mismo path, tamaño distinto (local=5081, drive=4519);Revisar versión canónica y sincronizar;"El archivo existe en ambos lados pero no coincide en tamaño; por tanto no está homogeneizado."
reports/proposed_action_table_4cols_20260521.xlsx;Solo en Drive;Traer a workspace;Existe en Drive y falta en workspace.
reports/roi_simulation_20260519.html;Mismo path, tamaño distinto (local=8595, drive=8096);Revisar versión canónica y sincronizar;"El archivo existe en ambos lados pero no coincide en tamaño; por tanto no está homogeneizado."
requirements.txt;Mismo path, tamaño distinto (local=209, drive=230);Revisar versión canónica y sincronizar;"El archivo existe en ambos lados pero no coincide en tamaño; por tanto no está homogeneizado."
scripts/ensure_churn_api_62881.sh;Solo en workspace;Copiar a Drive;Existe en workspace y falta en Drive.
src/api/__init__.py;Solo en workspace;Copiar a Drive;Existe en workspace y falta en Drive.
src/api/churn_service.py;Solo en workspace;Copiar a Drive;Existe en workspace y falta en Drive.
tests/test_churn_service.py;Solo en workspace;Copiar a Drive;Existe en workspace y falta en Drive.
